0x8000a3d0 | FUNCTION     | #D96C48A5 | #103C0F14 | Length 0x69c
0x8000aa70 | FUNCTION     | #6E809ED5 | #9033A8A5 | Length 0xdc
0x8000ab50 | FUNCTION     | #6DBD66F9 | #C991B86D | Length 0x2f8
0x8000ae50 | FUNCTION     | #A4921049 | #ABB91B14 | Length 0x64
0x8000aec0 | FUNCTION     | #FFB1DF97 | #96BCD923 | Length 0xdc
0x8000afa0 | FUNCTION     | #DC3D5E7D | #EA7651ED | Length 0x374
0x8000b320 | FUNCTION     | #17DE8511 | #614F2186 | Length 0x48
0x8000b370 | FUNCTION     | #F67AF2BA | #9C5DE34B | Length 0x1bc
0x8000b530 | FUNCTION     | #70F91322 | #83461C5E | Length 0x53c
0x8000ba70 | FUNCTION     | #4C4588F6 | #80EED20A | Length 0x5a4
0x8000c020 | FUNCTION     | #543CBC29 | #09B0E815 | Length 0x5a0
0x8000c5c0 | FUNCTION     | #DD31BED7 | #754E5CEB | Length 0x490
0x8000ca50 | FUNCTION     | #976BECD5 | #5D707B29 | Length 0x5a4
0x8000d000 | FUNCTION     | #FEE9DBB1 | #7D54A4CD | Length 0x9c
0x8000d0a0 | FUNCTION     | #DB083B1C | #8834ED27 | Length 0x2c
0x8000d0d0 | FUNCTION     | #A0DEA7D7 | #94150F74 | Length 0x98
0x8000d170 | FUNCTION     | #286F6A6E | #2ECAF01F | Length 0x1c
0x8000d190 | FUNCTION     | #D920D5E7 | #06D32935 | Length 0xc8
0x8000d260 | FUNCTION     | #376A1582 | #381D4206 | Length 0x14c
0x8000d3b0 | FUNCTION     | #A89C362A | #D153190B | Length 0x14c
0x8000d500 | FUNCTION     | #1FFC1CDE | #CB77B8A2 | Length 0xac
0x8000d5b0 | FUNCTION     | #080655D6 | #8DE1C26F | Length 0xac
0x8000d660 | FUNCTION     | #8E341190 | #C4AB1678 | Length 0xc0
0x8000d720 | FUNCTION     | #F360A61F | #F360A61F | Length 0x20
0x8000d740 | FUNCTION     | #DE4C4C97 | #ABFE49A0 | Length 0xa0
0x8000d7e0 | FUNCTION     | #530123E9 | #D5D40E1F | Length 0x3c
0x8000d820 | FUNCTION     | #42A9F765 | #6A7EBC72 | Length 0x48
0x8000d870 | FUNCTION     | #E36B84D3 | #98A5A669 | Length 0x24
0x8000d8a0 | FUNCTION     | #17EC0855 | #847D51AF | Length 0x88
0x8000d930 | FUNCTION     | #D00C9A9A | #7F3FF888 | Length 0x534
0x8000de70 | FUNCTION     | #5F24BD7C | #D4438F56 | Length 0xe8
0x8000df60 | FUNCTION     | #98E6B2B6 | #36644DAC | Length 0xc8
